Период, Ключевая ставка %, Реальный выпуск кв/кв ln(x/100), Индекс потребительских цен кв/кв ln(x/100), Номинальный курс кв/кв ln(x/100), Реальный курс кв/кв ln(x/100), Доля расходов бюджета в ВВП ln(x/100), Доходы бюджета кв/кв ln(x/100), Потребление домохозяйств кв/кв ln(x/100), Государственные закупки кв/кв ln(x/100), Валовые внутренние инвестиции кв/кв ln(x/100), Импорт кв/кв ln(x/100), Экспорт кв/кв ln(x/100), Уровень занятости кв/кв ln(x/100)
period,zzobs_r_G,zzobs_dY,zzobs_dPC,zzobs_dNFX,zzobs_dRFX,zzobs_SP_PY,zzobs_dInc,zzobs_dC,zzobs_dG,zzobs_dI,zzobs_dIM,zzobs_dEX,zzobs_dL
189Q3,7.759779699999999,0.007581277,0.001564169,-0.017078449,0.000285243,-0.816680889,-0.11349748,0.019333582,0.006672786,-0.024560115,0.000104829,0.034915283,-0.005935376
189Q4,9.8462175,0.025794414,0.027582329,-0.349049499,-0.358969891,-0.803886466,0.12935683,0.085967168,0.013954971,-0.03345449,0.019404048,0.040615251,-0.014145505
190Q1,9.9917381,0.018642732,0.015532315,-0.265413414,-0.261660674,-0.794492831,0.018800696,0.054822603,0.041553516,-0.035474173,0.020092188,0.026732086,0.004387341
190Q2,10.0404029,0.023760766,0.013985729,-0.011937256,-0.004125446,-0.802922309,-0.019959503,0.071782438,0.030290724,-0.016526537,0.03893861,0.033894839,0.004223861
190Q3,7.7519527,0.006965712,0.007580598,-0.084898257,-0.076632387,-0.779745886,0.008943079,0.026180906,0.048098099,-0.01673805,0.048186273,0.027916258,0.00011762
190Q4,11.2751327,0.042778322,0.032435477,-0.3552415,-0.367398805,-0.795875739,0.151649581,0.123469234,0.031316106,0.014918011,0.076940569,0.034792793,0.009379096
191Q1,15.7016789,0.071699723,0.033446795,-0.228356881,-0.242899704,-0.803091454,0.12052201,0.163404699,0.056749997,-0.00540382,0.041714527,0.033005885,0.029560287
191Q2,16.534111000000003,0.076796878,0.015501259,0.099675561,0.100940366,-0.844132948,-0.005512707,0.142603459,0.057846944,-0.007657483,0.020166591,0.054763652,0.062097863
191Q3,14.990546299999998,0.063015221,0.008638713,-0.162433145,-0.152541953,-0.83361159,0.012123925,0.097826393,0.049545173,-0.008556779,-0.008463521,0.0357904,0.036109632
191Q4,13.098120899999998,0.04716282,0.006120713,-0.066086796,-0.058999605,-0.841465603,-0.034588004,0.105311214,0.029384183,-0.011248133,0.012734219,0.02596087,0.033754162
192Q1,14.1269453,0.06373034,0.019826315,-0.077830385,-0.082020996,-0.852899254,0.091421804,0.133758396,0.042970809,-0.01993665,0.007158813,0.036139918,0.019400385
192Q2,13.368266400000001,0.044810971,0.007715669,0.003211984,0.01564329,-0.820469428,-0.033908435,0.082299313,0.052162556,-0.010956941,0.017965518,0.029140392,0.022860354
192Q3,15.148621700000001,0.059424443,0.020316294,-0.033318172,-0.034662284,-0.814118281,0.117124048,0.107879094,0.049804337,-0.012920536,0.008025049,0.039199111,0.001802257
192Q4,16.1909253,0.061611582,0.019206444,-0.194857123,-0.194328088,-0.821434064,-0.027526844,0.147791627,0.032584897,-0.033815372,-0.002508621,0.02820171,0.018662569
193Q1,13.7103077,0.053515251,-0.0002121,0.154844125,0.17754903,-0.847923864,-0.042810322,0.083947213,0.036117161,0.039054679,0.042958424,0.037443301,0.035320962
193Q2,11.209116700000001,0.033538029,0.001536759,-0.162761685,-0.146459569,-0.795560601,-0.007845413,0.027428609,0.038085343,0.051521112,0.05273449,0.036514094,0.029695133
193Q3,10.0734364,0.026409563,0.007008947,-0.191439571,-0.182749492,-0.762736743,0.125789145,0.031751272,0.07103473,0.057645599,0.095869197,0.013337785,0.006618404
193Q4,12.1640768,0.037738662,0.025628713,-0.301926368,-0.311146062,-0.785063807,0.141881087,0.08725013,0.042704723,-0.019485452,0.010923299,0.008691503,0.005079616
194Q1,12.1641821,0.04394065,0.012984611,-0.104398351,-0.106047189,-0.793625767,0.030772432,0.057578135,0.063124505,-0.040776987,-0.042228916,0.003877395,0.021886868
194Q2,10.366178,0.047281843,0.009141026,0.103632457,0.108165372,-0.834511587,0.05321498,0.041687741,0.040581814,-0.017293318,-0.071963937,-0.015527042,0.014473234
194Q3,10.476092600000001,0.057417108,0.012929139,-0.246294263,-0.246967747,-0.781193049,0.028199326,0.03481668,0.064200794,-0.018721278,-0.073179094,0.004876852,-0.00664535
194Q4,10.3838774,0.025590323,0.010277507,0.045208342,0.049589529,-0.829988982,-0.069892599,0.03100481,0.022929184,-0.029949709,-0.055922262,-0.014637182,-0.024852496
195Q1,9.7425772,0.025066208,0.013340289,-0.128145943,-0.125014044,-0.800335257,0.056764695,0.010643961,0.053143566,-0.001080151,-0.009908195,-0.002421986,-0.013680286
195Q2,9.2552991,0.016400388,0.011731347,-0.027106943,-0.024796525,-0.803930762,0.067491839,0.000259848,0.044804234,0.014142903,0.008315981,-0.007076073,-0.048641476
195Q3,8.8282568,0.020042021,0.017224999,0.078376326,0.072350386,-0.826200921,0.017197,-0.001505687,0.032591739,-0.000321536,-0.023771321,0.001161972,-0.046953949
195Q4,7.1878734,0.015613597,0.007354503,0.186705942,0.191748839,-0.820262229,0.080585934,-0.010642102,0.062535908,0.020767115,0.034056876,0.012730748,-0.063507674
196Q1,5.7665017999999995,0.011139954,0.001440071,0.026080727,0.038785589,-0.791949151,0.047264558,-0.051814065,0.065896161,0.072568972,0.075615928,0.03186089,-0.055381027
196Q2,5.9688848000000005,0.022336011,0.015344382,-0.137631477,-0.137222268,-0.75588599,0.174964461,-0.033941518,0.070683422,0.064347013,0.059801629,0.031484643,-0.049008135
196Q3,3.7447097,-0.019879259,-0.003751668,0.069092744,0.090217718,-0.771604637,-0.051494358,-0.112928808,0.052848279,0.059278428,0.078302441,0.047878031,-0.036279745
196Q4,2.2777037,-0.016504979,0.005187983,0.033193852,0.045328813,-0.783483968,0.178119579,-0.083040813,0.035862656,0.069374163,0.098406742,0.05288179,-0.010807582
197Q1,1.4431716,-0.015562009,0.012164025,-0.153727776,-0.151164693,-0.709481124,0.124094492,-0.099042055,0.045471356,0.069627722,0.082662926,0.04262585,-0.021170068
197Q2,0.7472603,-0.00846426,0.013540986,-0.059702776,-0.060360885,-0.709248564,0.08158111,-0.096819782,0.044466637,0.059439241,0.060861034,0.052275728,0.003346622
197Q3,0.1285483,-0.030876456,0.01096367,-0.080219017,-0.073947838,-0.719555845,-0.018036123,-0.125146754,0.034172301,0.037706104,0.050856972,0.041483438,-0.03878922
197Q4,0.0778232,-0.019092443,0.016459846,-0.417073284,-0.418112902,-0.702933857,0.130355514,-0.101133936,0.046216299,0.016163685,0.040393375,0.055949023,-0.056971155
198Q1,2.1776742000000002,-0.002134671,0.025104531,-0.171872855,-0.178709429,-0.738577359,0.069831011,-0.063742039,0.037827635,0.005464982,0.00883127,0.045202324,-0.032273202
198Q2,0.4208835,-0.010183808,0.004311737,0.190586896,0.205294321,-0.767991735,-4.27E-05,-0.082594007,0.042115783,0.054686293,0.074070791,0.055732664,-0.006654613
198Q3,0.6808237,-0.011534854,0.014748118,-0.036209202,-0.032765473,-0.759042475,0.153671849,-0.107162907,0.039541465,0.078206986,0.070855256,0.046143122,-0.02734762
198Q4,2.2285083,0.000449611,0.018857806,-0.076040496,-0.07364581,-0.796372731,0.138243799,-0.056993853,0.01640047,0.071308125,0.061761959,0.045202444,-0.005911357
199Q1,4.418624899999999,0.013006617,0.026234561,-0.039445496,-0.044519151,-0.809892939,0.136283691,-0.062368662,0.037276556,0.03391065,0.005202903,0.05012177,-0.029396523
199Q2,6.2278697,0.020053411,0.02324149,-0.124610681,-0.128923233,-0.796192665,0.163567157,-0.05252192,0.042072879,-0.020103705,-0.06486088,0.037681565,0.002427549
199Q3,4.994214100000001,-0.008945461,0.001935739,0.287991039,0.304983828,-0.821845658,-0.119759358,-0.110885149,0.032709364,-0.004608666,-0.02814311,0.05719197,-0.020770786
199Q4,3.6027739000000003,-0.012450789,0.004702371,-0.101003869,-0.088089136,-0.791457218,0.179565001,-0.092605283,0.031814746,0.042433838,0.043384493,0.048318993,0.009678753
200Q1,1.2604316,-0.025169592,0.005262087,-0.322628702,-0.312615655,-0.757354221,0.103894635,-0.10073768,0.045391073,0.062606703,0.102677583,0.050960075,-0.026022126
200Q2,1.8174903,-0.00681223,0.011275594,0.059988933,0.063753859,-0.838191499,0.142681171,-0.02691777,0.019188812,0.06421467,0.092906743,0.02644587,-0.002004762
200Q3,1.5383368,-0.013214817,0.009025095,-0.039168345,-0.028240805,-0.779882951,0.123800812,-0.059850821,0.036685794,0.068528481,0.090152293,0.015904933,-0.002867098
200Q4,1.847371,-0.008723998,0.007704386,-0.013141896,-0.006265657,-0.831682114,0.101962468,-0.025838314,0.007066726,0.081311003,0.098547396,0.012707169,0.012093573
201Q1,1.3844611,-0.014801256,0.008420181,0.109802354,0.11740518,-0.79010909,0.124649926,-0.04609767,0.015617462,0.076678243,0.102048853,0.022007968,0.031735205
201Q2,1.5709833999999998,-0.000172824,0.006699449,0.054536447,0.069040731,-0.790349052,0.121192268,-0.04258275,0.023526462,0.066036111,0.065480328,0.024793378,0.042512624
201Q3,1.3025451000000001,-0.002405197,0.006240061,0.262836311,0.272123543,-0.802049449,0.033067532,-0.057978075,0.018718733,0.050677469,0.038060628,0.029356475,0.007230767
201Q4,2.2053317999999997,0.012860707,0.016504806,0.017745842,0.019274122,-0.817583188,0.135572834,-0.026391665,0.005114062,0.047968591,0.018969979,0.034617988,0.009709576
202Q1,2.3720985,0.002567106,0.0046655,0.281910463,0.297006377,-0.84388723,-0.000247901,-0.038989716,0.009205649,0.034066001,0.024743408,0.040585785,0.000316104
202Q2,4.5216173,0.023353639,0.019822649,0.05556198,0.049963247,-0.829089329,0.154217102,-0.002221339,0.005415236,0.015233646,-0.018695362,0.035219211,0.016011286
202Q3,4.3469335,0.010913019,0.01208928,0.137748696,0.143637624,-0.805493129,-0.046886889,-0.032604822,0.022982071,-0.043023098,-0.070021765,0.026879172,0.001094243
202Q4,7.2088808,0.028762365,0.020551528,0.152374668,0.147393859,-0.848368141,0.048502499,0.012024667,0.001344196,-0.056604912,-0.106715025,0.023618139,0.01738679
203Q1,7.2900307,0.038499771,0.010403178,-0.041267069,-0.034553849,-0.835153252,0.04904414,-0.01489092,0.023678667,-0.043627627,-0.121847902,0.027898554,0.045056838
203Q2,8.201207100000001,0.030451832,0.015951514,-0.181793569,-0.179868251,-0.780700715,0.046721088,-0.013578704,0.062779025,-0.066966643,-0.111613717,-0.00462383,0.018726932
203Q3,5.5816512,0.013789346,-0.001653172,-0.037259996,-0.013328346,-0.78974959,-0.050109734,-0.051086261,0.04831532,-0.032962487,-0.079268985,-0.000377873,-0.004719447
203Q4,5.4081323,0.004597432,0.001950095,-0.045675591,-0.023703773,-0.821065677,-0.016107477,-0.037579012,0.018701362,0.002212455,-0.033084497,-0.005159919,0.030827109
204Q1,3.792146,-0.011492378,0.000562227,-0.210286304,-0.193465401,-0.773826769,0.063727677,-0.086396916,0.044866479,0.025929165,0.011757952,0.001129416,0.008444648
204Q2,4.384602800000001,0.005726341,0.012228008,-0.029486636,-0.021048818,-0.813587666,0.063967693,-0.021515231,0.020048058,0.029734831,0.009011851,-0.008007689,0.018635797
204Q3,2.9846952,-0.005540533,0.000603303,0.093927437,0.114908406,-0.829985338,-0.03258335,-0.087669183,0.017028515,0.069977994,0.01826127,-0.000454086,0.037744899
204Q4,4.0907234,0.003517538,0.020920928,-0.17166865,-0.175253124,-0.82483603,0.189277411,-0.031167762,-0.008783495,0.055478207,0.002511596,-0.017432625,0.012198665
205Q1,4.9350277,0.01329449,0.015657955,-0.074000201,-0.073419026,-0.832688371,0.062807791,-0.03616318,0.004437052,0.073185012,0.012931015,-0.001780311,0.036870696
205Q2,5.5759484,0.003390421,0.015306277,-0.04397516,-0.044753477,-0.816663132,-0.012311833,-0.035848681,-0.035267527,0.005560376,-0.077529088,-0.015762115,0.003984984
205Q3,4.9422873,0.012161089,0.011136016,0.095921056,0.099059848,-0.781166606,-0.045231675,-0.060603524,0.010578751,-0.003657235,-0.077872377,0.011669318,0.011698419
205Q4,4.1624924,-0.004171788,0.003733808,-0.061487733,-0.051145407,-0.779089082,-0.087235648,-0.078362675,0.019203421,-0.012991207,-0.063547425,0.000330495,-0.025357285
206Q1,3.6184842,0.004137364,0.009731378,-0.212808915,-0.207856438,-0.791110544,0.039378127,-0.06983566,0.011251371,0.026356733,-0.031496311,0.015077513,-0.013426928
206Q2,4.3664978,-0.00974346,0.017088759,-0.073091922,-0.072317212,-0.744833766,-0.106507986,-0.074972528,0.016499537,-0.020235705,-0.06009944,-0.005916651,-0.03790287
206Q3,5.7694754,-0.001125152,0.019645307,-0.165698761,-0.167183963,-0.787277743,0.025095316,-0.043599918,-0.012300554,-0.011302553,-0.068861288,-0.010227544,-0.015105979
206Q4,5.7044299,-0.008494926,0.011331259,0.014566329,0.023219283,-0.764223872,-0.099767,-0.047949676,-0.002305499,-0.031618105,-0.07126342,-0.015784794,-0.023571158
207Q1,4.3210397,-0.002036377,0.000913005,0.322418093,0.341678034,-0.777250631,-0.027361484,-0.058560954,0.016488127,-0.006393313,-0.032378108,0.020713836,-0.001925916
207Q2,3.8088337,0.001792524,0.011249466,-0.019613797,-0.018214957,-0.719050948,0.025419043,-0.065985817,0.034647869,-0.004977764,-0.039815116,0.008146263,-0.010060898
207Q3,4.814679,0.006743586,0.011419481,0.083468364,0.088057866,-0.775002761,-0.024567594,-0.029986311,0.019832925,-0.020357275,-0.031957754,0.032041855,0.000230751
207Q4,4.8595573000000005,0.009298073,0.012342673,0.036058035,0.042400453,-0.775174385,0.080157917,-0.031037927,0.032011649,-0.003859387,-0.022807389,0.012782982,-0.014099248
208Q1,6.5749895,0.025329682,0.018085765,-0.023391761,-0.021894781,-0.780165987,0.079483042,-0.008302726,0.046076848,-0.018217367,-0.030331824,0.036170607,0.006323993
208Q2,4.9154581,0.002644382,0.00563961,0.040063583,0.052014424,-0.75608588,0.030299074,-0.047324789,0.036517281,-0.034114718,-0.041555972,0.028038633,0.027039132
208Q3,3.0617619,0.003937053,-0.003167865,0.113031569,0.134590871,-0.807192095,-0.010311019,-0.039405455,0.036661552,-0.011763358,0.008748128,0.063469243,-0.001450081
208Q4,2.7596874000000002,0.005772087,0.01085707,-0.050560478,-0.046925111,-0.773327938,0.072967546,-0.053644987,0.035078341,0.014187639,0.015065856,0.060455126,-0.021474894
209Q1,3.899104,0.007253443,0.020681087,-0.134555493,-0.143974842,-0.794479692,0.065837805,-0.009326689,0.01556671,-0.002309605,0.016920143,0.055224762,-0.000145065
209Q2,6.8397135,0.017627536,0.027447848,-0.292904401,-0.308235552,-0.758345195,0.109419541,-0.012858193,0.038047302,0.004270709,0.011821142,0.052161064,-0.003094253
209Q3,7.717835000000001,0.010602528,0.016523224,-0.105408196,-0.104400988,-0.80589318,-0.054845325,-0.002078523,0.005281609,-0.03789786,-0.031513232,0.055711201,0.008201793
